"Gene","RefSeq","Exons testés","Exons Non 
Contributif 
(coverage < 
250x)*"
"AKT1","NM_05163","3",""
"APC","NM_000038","9, 13, 15, 16",""
"AXIN1","NM_003502","2, 3, 6-10",""
"BRAF","NM_004333","11,  15",""
"CDH1","NM_004360","8, 9, 12",""
"CDKN2A","NM_000077","2",""
"CHEK2","NM_005211","3, 4, 11, 13, 
15",""
"CTNNB1","NM_001904","3",""
"EGFR","NM_005228","18-21",""
"EIF1AX","NM_001412","1, 2",""
"FLT3","NM_004119","16",""
"GNAS","NM_000516","8, 9",""
"HRAS","NM_005343","2-4",""
"IDH1","NM_005896","4, 6",""
